,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor,paper_key,place_holder,month_year
28,2-s2.0-85057570574,10.1021/acsnano.8b03642,,30444603,"Small, Thin Graphene Oxide Is Anti-inflammatory Activating Nuclear Factor Erythroid 2-Related Factor 2 via Metabolic Reprogramming",ar,Article,Hoyle C.,60172345;60111801;60003771,"Faculty of Biology, Medicine and Health;Health Innovation Manchester;The University of Manchester",Manchester;Manchester;Manchester,United Kingdom;United Kingdom;United Kingdom,10,"['Hoyle, Christopher', 'Rivers-Auty, Jack', 'Lemarchand, Eloïse', 'Vranic, Sandra', 'Wang, Emily', 'Buggio, Maurizio', 'Rothwell, Nancy J.', 'Allan, Stuart M.', 'Kostarelos, Kostas', 'Brough, David']","['57203606010', '55783266700', '6603584353', '55540295900', '57204861839', '26535443400', '36042800200', '7006687687', '56134375900', '7006799289']",60111801;60111801;60111801;60172345-60003771;60111801;60172345-60003771;60111801;60111801;60172345-60003771;60111801,2018-12-26,26 December 2018,ACS Nano,19360851,11500153511,1936086X,Journal,12,12,,11949-11962,"Graphene oxide (GO), an oxidized form of graphene, has potential applications in biomedical research. However, how GO interacts with biological systems, including the innate immune system, is poorly understood. Here, we elucidate the effects of GO sheets on macrophages, identifying distinctive effects of GO on the inflammatory phenotype. Small, thin (s)-GO dose-dependently inhibited release of interleukin (IL)-1β and IL-6 but not tumor necrosis factor α. NLRP3 inflammasome and caspase-1 activation was not affected. The effect of s-GO was pretranslational, as s-GO blocked Toll-like receptor 4-dependent expression of Il1b and Il6 but not Nlrp3 or Tnf mRNA transcripts. s-GO was internalized by immortalized bone-marrow-derived macrophages, suggesting a potential intracellular action. Uptake of polystyrene beads with similar lateral dimensions and surface charge did not phenocopy the effects of s-GO, suggesting that s-GO-mediated inhibition of interleukin expression was not simply due to particle phagocytosis. RNA-Seq analysis established that s-GO had profound effects on the immunometabolism of the cells, leading to activation of the transcription factor nuclear factor erythroid 2-related factor 2, which inhibited expression of cytokines such as IL-1β and IL-6. Thus, we have identified immunometabolic effects of GO that reveal another dimension to its effects on cells. These findings suggest that s-GO may be used as a valuable tool to generate further insights into inflammatory mechanisms and indicate its potential applications in biomedicine.",graphene oxide | IL-1β | immunometabolism | inflammasome | inflammation | macrophage | NLRP3,16,1,H2020,FP7-ICT-2013-FET-F-604391,Horizon 2020 Framework Programme,papers by authors,0.0,2018-12-01
29,2-s2.0-85058454602,10.3390/genes9120593,,,Improving the gene ontology resource to facilitate more informative analysis and interpretation of alzheimer’s disease data,no,Note,Kramarz B.,60115564;60111801;60026124;60022148,Reta Lila Weston Institute of Neurological Studies;Health Innovation Manchester;European Bioinformatics Institute;University College London,London;Manchester;Cambridge;London,United Kingdom;United Kingdom;United Kingdom;United Kingdom,11,"['Kramarz, Barbara', 'Roncaglia, Paola', 'Meldal, Birgit H.M.', 'Huntley, Rachael P.', 'Martin, Maria J.', 'Orchard, Sandra', 'Parkinson, Helen', 'Brough, David', 'Bandopadhyay, Rina', 'Hooper, Nigel M.', 'Lovering, Ruth C.']","['57191955786', '6506564716', '8610824900', '35484022400', '57035737800', '7003491677', '7003395825', '7006799289', '6603278141', '57203607851', '57205131565']",60022148;60026124;60026124;60022148;60026124;60026124;60026124;60111801;60115564;60111801;60022148,2018-12-01,December 2018,Genes,,19700188368,20734425,Journal,9,12,593,,"The analysis and interpretation of high-throughput datasets relies on access to high-quality bioinformatics resources, as well as processing pipelines and analysis tools. Gene Ontology (GO, geneontology.org) is a major resource for gene enrichment analysis. The aim of this project, funded by the Alzheimer’s Research United Kingdom (ARUK) foundation and led by the University College London (UCL) biocuration team, was to enhance the GO resource by developing new neurological GO terms, and use GO terms to annotate gene products associated with dementia. Specifically, proteins and protein complexes relevant to processes involving amyloid-beta and tau have been annotated and the resulting annotations are denoted in GO databases as ‘ARUK-UCL’. Biological knowledge presented in the scientific literature was captured through the association of GO terms with dementia-relevant protein records; GO itself was revised, and new GO terms were added. This literature biocuration increased the number of Alzheimer’s-relevant gene products that were being associated with neurological GO terms, such as ‘amyloid-beta clearance’ or ‘learning or memory’, as well as neuronal structures and their compartments. Of the total 2055 annotations that we contributed for the prioritised gene products, 526 have associated proteins and complexes with neurological GO terms. To ensure that these descriptive annotations could be provided for Alzheimer’s-relevant gene products, over 70 new GO terms were created. Here, we describe how the improvements in ontology development and biocuration resulting from this initiative can benefit the scientific community and enhance the interpretation of dementia data.",Alzheimer’s disease | Amyloid-beta | Annotation | Biocuration | Cognitive impairment | Dementia | Gene ontology | Microtubule-associated protein tau | Neurodegeneration,8,1,NHGRI,U41 HG002273,National Human Genome Research Institute,papers by authors,0.5,2018-12-01
32,2-s2.0-85044465622,10.1038/s41467-018-03362-1,,29559685,Redefining the ancestral origins of the interleukin-1 superfamily,ar,Article,Rivers-Auty J.,60172345;60162085;60111801,"Faculty of Biology, Medicine and Health;MRC-University of Glasgow Centre for Virus Research;Health Innovation Manchester",Manchester;Glasgow;Manchester,United Kingdom;United Kingdom;United Kingdom,5,"['Rivers-Auty, Jack', 'Daniels, Michael J.D.', 'Colliver, Isaac', 'Robertson, David L.', 'Brough, David']","['55783266700', '57111532300', '57201365011', '7402818741', '7006799289']",60111801;60111801;60111801;60172345-60162085;60111801,2018-12-01,1 December 2018,Nature Communications,,19700182758,20411723,Journal,9,1,1156,,"The interleukin-1 (IL-1) receptor and ligand families are components of the immune system. Knowledge of their evolutionary history is essential to understand their function. Using chromosomal anatomy and sequence similarity, we show that IL-1 receptor family members are related and nine members are likely formed from duplication and modification of a proto-IL-1R1 receptor. The IL-1 ligands have a different evolutionary history. The first proto-IL-1β gene coincided with proto-IL-1R1 and duplication events resulted in the majority of IL-1 ligand family members. However, large evolutionary distances are observed for IL-1α, IL-18 and IL-33 proteins. Further analysis show that IL-33 and IL-18 have poor sequence similarity and no chromosomal evidence of common ancestry with the IL-1β cluster and therefore should not be included in the IL-1 ligand ancestral family. IL-1α formed from the duplication of IL-1β, and moonlighting functions of pro-IL-1α acted as divergent selection pressures for the observed sequence dissimilarity.",,30,1,WT,083482/Z/07/Z,Wellcome Trust,papers by authors,0.5,2018-12-01
33,2-s2.0-85054377201,10.1073/pnas.1812744115,,30232264,Chloride regulates dynamic NLRP3-dependent ASC oligomerization and inflammasome priming,ar,Article,Green J.P.,60111801;60029675,Health Innovation Manchester;Hospital Virgen de la Arrixaca,Manchester;Murcia,United Kingdom;Spain,7,"['Green, Jack P.', 'Yu, Shi', 'Martín-Sánchez, Fátima', 'Pelegrin, Pablo', 'Lopez-Castejon, Gloria', 'Lawrence, Catherine B.', 'Brough, David']","['57203883076', '57190663756', '56215558000', '6603071481', '12771603600', '7402265662', '7006799289']",60111801;60111801;60029675;60029675;60111801;60111801;60111801,2018-10-02,2 October 2018,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,115,40,,E9371-E9380,"The NLRP3 inflammasome is an important regulator of inflammation and immunity. It is a multimolecular platform formed within cells that facilitates the activation of proinflammatory caspases to drive secretion of cytokines such as interleukin-1β (IL-1β). Knowledge of the mechanisms regulating formation of the NLRP3 inflammasome is incomplete. Here we report Cl− channel-dependent formation of dynamic ASC oligomers and inflammasome specks that remain inactive in the absence of K+ efflux. Formed after Cl− efflux exclusively, ASC specks are NLRP3 dependent, reversible, and inactive, although they further prime inflammatory responses, accelerating and enhancing release of IL-1β in response to a K+ efflux-inducing stimulus. NEK7 is a specific K+ sensor and does not associate with NLRP3 under conditions stimulating exclusively Cl− efflux, but does after K+ efflux, activating the complex driving inflammation. Our investigation delivers mechanistic understanding into inflammasome activation and the regulation of inflammatory responses.",Caspase-1 | Chloride | Inflammasome | Inflammation | Interleukin-1,46,1,WT,614578,Wellcome Trust,papers by authors,0.0,2018-10-01
34,2-s2.0-85053370062,10.15252/embr.201744766,,30206189,USP7 and USP47 deubiquitinases regulate NLRP3 inflammasome activation,ar,Article,Palazón-Riquelme P.,60111801;60029675;60028868;60000130,Health Innovation Manchester;Hospital Virgen de la Arrixaca;Università di Pisa;Universidad de Murcia,Manchester;Murcia;Pisa;Murcia,United Kingdom;Spain;Italy;Spain,8,"['Palazón-Riquelme, Pablo', 'Worboys, Jonathan D.', 'Green, Jack', 'Valera, Ana', 'Martín-Sánchez, Fatima', 'Pellegrini, Carolina', 'Brough, David', 'López-Castejón, Gloria']","['57191445495', '56263809900', '57203883076', '57196074592', '56215558000', '55675364500', '7006799289', '12771603600']",60111801;60111801;60111801;60000130;60029675;60028868;60111801;60111801,2018-10-01,October 2018,EMBO Reports,1469221X,22088,14693178,Journal,19,10,e44766,,"The assembly and activation of the inflammasomes are tightly regulated by post-translational modifications, including ubiquitin. Deubiquitinases (DUBs) counteract the addition of ubiquitin and are essential regulators of immune signalling pathways, including those acting on the inflammasome. How DUBs control the assembly and activation of inflammasomes is unclear. Here, we show that the DUBs USP7 and USP47 regulate inflammasome activation in macrophages. Chemical inhibition of USP7 and USP47 blocks inflammasome formation, independently of transcription, by preventing ASC oligomerisation and speck formation. We also provide evidence that the ubiquitination status of NLRP3 itself is altered by inhibition of USP7 and USP47. Interestingly, we found that the activity of USP7 and USP47 increased in response to inflammasome activators. Using CRISPR/Cas9 in the macrophage cell line THP-1, we show that inflammasome activation is reduced when both USP7 and USP47 are knocked down. Altogether, these data reveal a new post-transcriptional role for USP47 and USP7 in inflammation by regulating inflammasome activation and the release of the pro-inflammatory cytokines IL-1β and IL-18, and implicate dual USP7 and USP47 inhibitors as potential therapeutic agents for inflammatory disease.",deubiquitination | inflammasome | macrophages | USP47 | USP7,55,1,GSK,MR/N029992/1,AstraZeneca,papers by authors,0.0,2018-10-01
35,2-s2.0-85049657457,10.1073/pnas.1801737115,,29954866,Targeting the IL33–NLRP3 axis improves therapy for experimental cerebral malaria,ar,Article,Strangward P.,60111801;60020934;60010432;60001574;60000986,"Health Innovation Manchester;Liverpool School of Tropical Medicine;Soochow University;College of Medical, Veterinary &amp; Life Sciences;University of Massachusetts Medical School",Manchester;Liverpool;Suzhou;Glasgow;Worcester,United Kingdom;United Kingdom;China;United Kingdom;United States,17,"['Strangward, Patrick', 'Haley, Michael J.', 'Albornoz, Manuel G.', 'Barrington, Jack', 'Shaw, Tovah', 'Dookie, Rebecca', 'Zeef, Leo', 'Baker, Syed M.', 'Winter, Emma', 'Tzeng, Te Chen', 'Golenbock, Douglas T.', 'Cruickshank, Sheena M.', 'Allan, Stuart M.', 'Craig, Alister', 'Liew, Foo Y.', 'Brough, David', 'Couper, Kevin N.']","['56990074900', '56763706700', '57202867343', '57193339420', '56519209000', '57202873181', '57224835479', '57221251090', '57202872731', '55539525300', '7007174196', '6701734249', '7006687687', '7201507916', '8125004700', '7006799289', '16068193500']",60111801;60111801;60111801;60111801;60111801;60111801;60111801;60111801;60111801;60000986;60000986;60111801;60111801;60020934;60001574-60010432;60111801;60111801,2018-07-10,10 July 2018,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,10916490,Journal,115,28,,7404-7409,"Cerebral malaria (CM) is a serious neurological complication caused by Plasmodium falciparum infection. Currently, the only treatment for CM is the provision of antimalarial drugs; however, such treatment by itself often fails to prevent death or development of neurological sequelae. To identify potential improved treatments for CM, we performed a nonbiased whole-brain transcriptomic time-course analysis of antimalarial drug chemotherapy of murine experimental CM (ECM). Bioinformatics analyses revealed IL33 as a critical regulator of neuroinflammation and cerebral pathology that is down-regulated in the brain during fatal ECM and in the acute period following treatment of ECM. Consistent with this, administration of IL33 alongside antimalarial drugs significantly improved the treatment success of established ECM. Mechanistically, IL33 treatment reduced inflammasome activation and IL1β production in microglia and intracerebral monocytes in the acute recovery period following treatment of ECM. Moreover, treatment with the NLRP3-inflammasome inhibitor MCC950 alongside antimalarial drugs phenocopied the protective effect of IL33 therapy in improving the recovery from established ECM. We further showed that IL1β release from macrophages was stimulated by hemozoin and antimalarial drugs and that this was inhibited by MCC950. Our results therefore demonstrate that manipulation of the IL33–NLRP3 axis may be an effective therapy to suppress neuroinflammation and improve the efficacy of antimalarial drug treatment of CM.",IL33 | Inflammasome | Inflammation | Malaria | NLRP3,21,1,NIAID,R01AI079293,National Institute of Allergy and Infectious Diseases,papers by authors,0.5,2018-07-01
36,2-s2.0-85042414915,10.1111/jon.12477,,29064155,Assessing Inflammation in Acute Intracerebral Hemorrhage with PK11195 PET and Dynamic Contrast-Enhanced MRI,ar,Article,Abid K.A.,60172345;60111966;60008873,"Faculty of Biology, Medicine and Health;Bioxydyn Limited;Salford Royal NHS Foundation Trust",Manchester;Manchester;Salford,United Kingdom;United Kingdom;United Kingdom,11,"['Abid, Kamran A.', 'Sobowale, Oluwaseun A.', 'Parkes, Laura M.', 'Naish, Josephine', 'Parker, Geoff J.M.', 'du Plessis, Daniel', 'Brough, David', 'Barrington, Jack', 'Allan, Stuart M.', 'Hinz, Rainer', 'Parry-Jones, Adrian R.']","['12780524400', '6603088302', '6603675937', '8408782400', '24766914700', '7006472174', '7006799289', '57193339420', '7006687687', '16020732300', '23989586200']",60172345-60008873;60172345-60008873;60172345;60172345;60172345-60111966;60008873;60172345;60172345;60172345;60172345;60172345-60008873,2018-03-01,March/April 2018,Journal of Neuroimaging,10512284,16747,15526569,Journal,28,2,,158-161,"BACKGROUND AND PURPOSE: Studies in animal models suggest that inflammation is a major contributor to secondary injury after intracerebral hemorrhage (ICH). Direct, noninvasive monitoring of inflammation in the human brain after ICH will facilitate early-phase development of anti-inflammatory treatments. We sought to investigate the feasibility of multimodality brain imaging in subacute ICH. METHODS: Acute ICH patients were recruited to undergo multiparametric MRI (including dynamic contrast-enhanced measurement of blood-brain barrier transfer constant (Ktrans) and PET with [11C]-(R)-PK11195). [11C]-(R)-PK11195 binds to the translocator protein 18 kDa (TSPO), which is rapidly upregulated in activated microglia. Circulating inflammatory markers were measured at the time of PET. RESULTS: Five patients were recruited to this feasibility study with imaging between 5 and 16 days after onset. Etiologies included hypertension-related small vessel disease, cerebral amyloid angiopathy (CAA), cavernoma, and arteriovenous malformation (AVM). [11C]-(R)-PK11195 binding was low in all hematomas and 2 (patient 2 [probable CAA] and 4 [AVM]) cases showed widespread increase in binding in the perihematomal region versus contralateral. All had increased Ktrans in the perihematomal region (mean difference = 2.2 × 10−3 minute−1; SD = 1.6 × 10−3 minute−1) versus contralateral. Two cases (patients 1 [cavernoma] and 4 [AVM]) had delayed surgery (3 and 12 months post-onset, respectively) with biopsies showing intense microglial activation in perilesional tissue. CONCLUSIONS: Our study demonstrates for the first time the feasibility of performing complex multimodality brain imaging for noninvasive monitoring of neuroinflammation for this severe stroke subtype.",blood-brain barrier | inflammation | Intracerebral hemorrhage | magnetic resonance imaging | positron emission tomography,11,0,MRC,MR/N003586/1,Medical Research Council,papers by authors,0.0,2018-03-01
39,2-s2.0-85048011933,10.1358/dof.2018.043.04.2808577,,,Targeting the immune system in disease. Highlights from the society for medicines research meeting,cp,Conference Paper,Dawson L.A.,60112708;60111951;60026851;60012754;60003771,Immunocore Limited;Astex Pharmaceuticals;University of Oxford;Cancer Research UK;The University of Manchester,Abingdon;Cambridge;Oxford;London;Manchester,United Kingdom;United Kingdom;United Kingdom;United Kingdom;United Kingdom,6,"['Dawson, L. A.', 'Allan, S.', 'Brough, D.', 'Ritchie, J.', 'Weber, P.', 'Wren, S. P.']","['7102969261', '7006687687', '7006799289', '56573377300', '55616233300', '57195608588']",60111951;60003771;60003771;60012754;60112708;60026851,2018-01-01,2018,Drugs of the Future,03778282,21265,,Journal,43,4,,289-296,"Immune homeostasis and surveillance are fundamental mechanisms that protect from environmental stress, infections and disease. Recent advances have shown us how dysfunction of the immune system and overt inflammation contribute to the development and worsening of major noncommunicable diseases, including neurodegenerative disease, cancer, cardiovascular disease, diabetes and many others. The purpose of this Society for Medicines Research (SMR) Conference was to discuss the latest biological breakthroughs in immunology and how these discoveries are being applied to understand and target fundamental pathological mechanisms across therapeutic areas. The meeting brought together renowned experts who are making fundamental breakthroughs in disease areas such as neuroinflammation, cardiovascular disease and immuno-oncology to discuss the latest advances and outline important areas for future research. The meeting highlighted our increasing understanding of key inflammatory pathways that underlie the progressive pathology seen across a range of disease states such as rheumatoid arthritis, cardiovascular disease, oncology and Alzheimer’s disease. Furthermore, we learnt how these discoveries are being translated into novel therapies that are designed to target key inflammatory pathways and modify human disease. This SMR symposium was held at the Chancellors Conference Centre, Manchester, hosted by the University of Manchester, and sponsored by Astex Pharmaceuticals, Immunocore and the Merck Group.",Alzheimer’s disease | Cancer | Cardiovasculardisease | Cytokines | Glioblastoma | Immuno-oncology | Innate immunity | Microglia | NLRP3 inflammasome | Rheumatoid arthritis | Stroke | TNF-α,0,0,,undefined,,papers by authors,0.0,2018-01-01
40,2-s2.0-85038037294,10.1038/s41598-017-17387-x,,29213066,CRISPR/Cas9 mediated mutation of mouse IL-1α nuclear localisation sequence abolishes expression,ar,Article,Daniels M.J.D.,60172345;60111801,"Faculty of Biology, Medicine and Health;Health Innovation Manchester",Manchester;Manchester,United Kingdom;United Kingdom,4,"['Daniels, Michael J.D.', 'Adamson, Antony D.', 'Humphreys, Neil', 'Brough, David']","['57111532300', '23476396600', '7003710123', '7006799289']",60111801;60172345;60172345;60111801,2017-12-01,1 December 2017,Scientific Reports,,21100200805,20452322,Journal,7,1,17077,,"Inflammation is a host defense process against infection. Inflammatory mediators include cytokines of the interleukin-1 family, such as IL-1α and IL-1β. Unlike IL-1β, IL-1α carries an N-terminal nuclear localisation sequence (NLS) and is trafficked to the nucleus. The importance of IL-1α nuclear localisation is poorly understood. Here, we used CRISPR/Cas9 to make inactivating mutations to the NLS on the Il1a gene. A colony of NLS mutant mice was successfully generated with precise knock-in mutations to incapacitate NLS function. NLS mutant mice had no gross changes in immunophenotype or inflammatory response but, surprisingly, failed to express IL-1α. We deduced that, in making specific mutations in the Il1a gene, we also mutated a long-noncoding (lnc)RNA in the complementary strand which has cis-regulatory transcriptional control of the Il1a gene itself. The mutations generated in the Il1a gene also result in mutation of the lncRNA sequence and a predicted alteration of its secondary structure, potentially explaining a subsequent failure to function as a transcriptional activator of Il1a expression. Thus, lncRNA secondary structure may regulate IL-1α expression. Our results serve as a cautionary note that CRISPR -mediated genome editing without full knowledge of genomic context can result in unexpected, yet potentially informative observations.",,0,1,WT,097820/Z/11/B,Wellcome Trust,papers by authors,0.0,2017-12-01
41,2-s2.0-85026642279,10.1038/s41598-017-07081-3,,28761045,Salmonella typhimurium-induced IL-1 release from primary human monocytes requires NLRP3 and can occur in the absence of pyroptosis,ar,Article,Diamond C.E.,60113370;60111801,"A-Star, Singapore Immunology Network;Health Innovation Manchester",Singapore City;Manchester,Singapore;United Kingdom,6,"['Diamond, Catherine E.', 'Leong, Keith Weng Kit', 'Vacca, Maurizio', 'Rivers-Auty, Jack', 'Brough, David', 'Mortellaro, Alessandra']","['56927969500', '57195265036', '57195264922', '55783266700', '7006799289', '6506432509']",60113370-60111801;60113370;60113370;60111801;60111801;60113370,2017-12-01,1 December 2017,Scientific Reports,,21100200805,20452322,Journal,7,1,6861,,"Large molecular complexes known as inflammasomes regulate the release of IL-1β from immune cells in response to infection and injury. Salmonella typhimurium infection is reported to activate NLRP3 and NLRC4 inflammasomes which are subsequently involved in pyroptosis of the cell and pathogen clearance. However, the response to S. typhimurium in primary human monocytes has not been studied in detail. The aim of this study was to investigate the effect of S. typhimurium on inflammasomes in primary human monocytes. Much of the previous research in the field has been conducted in murine models and human THP-1 cells, which may not reflect the responses of primary human monocytes. Here, we report that inhibiting NLRP3 with the selective inhibitor MCC950, blocked release of IL-1β and the related cytokine IL-1α from primary human monocytes in response to S. typhimurium. Additionally, under these conditions S. typhimurium-induced IL-1 release occurred independently of pyroptosis. We propose that IL-1β release without pyroptosis may occur in early-recruited monocytes to regulate a maximal innate immune response to Salmonella infection, allowing a sustained inflammatory signal. This insight into the mechanisms involved in IL-1 release from primary human monocytes highlights major differences between immune cell types, and the defences they employ during bacterial infection.",,19,1,,undefined,,papers by authors,0.5,2017-12-01
43,2-s2.0-85013131018,10.1111/bpa.12481,,28009081,Mini-symposium: Role of the inflammasome in brain pathogenesis: a potential therapeutic target? - introduction,ar,Article,Boche D.,60025287;60003771,"University of Southampton, Faculty of Medicine;The University of Manchester",Southampton;Manchester,United Kingdom;United Kingdom,2,"['Boche, Delphine', 'Brough, David']","['6602420084', '7006799289']",60025287;60003771,2017-03-01,1 March 2017,Brain Pathology,10156305,14344,17503639,Journal,27,2,,190-191,,,1,0,,undefined,,papers by authors,0.0,2017-03-01
45,2-s2.0-84988654504,10.1038/icb.2016.75,,27559003,P2X7 receptor-dependent tuning of gut epithelial responses to infection,ar,Article,Huang S.W.,60172345;60028868,"Faculty of Biology, Medicine and Health;Università di Pisa",Manchester;Pisa,United Kingdom;Italy,10,"['Huang, Szu Wei', 'Walker, Catherine', 'Pennock, Joanne', 'Else, Kathryn', 'Muller, Werner', 'Daniels, Michael Jd', 'Pellegrini, Carolina', 'Brough, David', 'Lopez-Castejon, Gloria', 'Cruickshank, Sheena M.']","['57191284344', '56014565600', '7004853173', '7003647297', '55251783500', '57111532300', '55675364500', '7006799289', '12771603600', '6701734249']",60172345;60172345;60172345;60172345;60172345;60172345;60028868;60172345;60172345;60172345,2017-02-01,1 February 2017,Immunology and Cell Biology,08189641,20823,14401711,Journal,95,2,,178-188,"Infection and injury of the gut are associated with cell damage and release of molecules such as extracellular adenosine 5′-triphosphate (ATP), which is recognised by the purinergic P2X7 receptor (P2X7R). P2X7R is widely expressed in the gut by antigen-presenting cells (APCs) and epithelial cells, but the role of the P2X7R on epithelial cells is poorly understood. We investigated P2X7R in intestinal epithelium in vitro and in vivo using two model infections, Toxoplasma gondii and Trichinella spiralis. Lipopolysaccharide and ATP treatment of intestinal epithelial cells and infection with T. gondii in vitro did not promote inflammasome-associated interleukin-1β (IL-1β) or IL-18 secretion, but promoted C-C motif chemokine ligand 5 (CCL5), tumour necrosis factor-α and IL-6 production that were significantly reduced when the P2X7R was blocked. Similarly, in vivo, infection with either T. spiralis or T. gondii induced rapid upregulation of epithelial CCL5 in wild-type (wild-type (WT)) mice that was significantly reduced in P2X7R-/- littermate controls. The effects of reduced epithelial CCL5 were assayed by investigating recruitment of dendritic cells (DCs) to the epithelium. Infection induced a rapid recruitment of CD11c+ CD10+ DC subsets into the epithelial layer of WT mice but not P2X7R-/- mice. In vitro chemotaxis assays and bone marrow chimeras demonstrated the importance of epithelial P2X7R in DC recruitment. P2X7R signalling in epithelial cells mediates chemokine responses to promote initiation of host immunity to infection.",,22,1,MOE,BB/G018839/1,Ministry of Education,papers by authors,0.5,2017-02-01
46,2-s2.0-85009266609,10.3390/ijms18010102,,28067797,Unconventional pathways of secretion contribute to inflammation,ar,Article,Daniels M.J.D.,60172345,"Faculty of Biology, Medicine and Health",Manchester,United Kingdom,2,"['Daniels, Michael J.D.', 'Brough, David']","['57111532300', '7006799289']",60172345;60172345,2017-01-05,5 January 2017,International Journal of Molecular Sciences,16616596,25879,14220067,Journal,18,1,102,,"In the conventional pathway of protein secretion, leader sequence-containing proteins leave the cell following processing through the endoplasmic reticulum (ER) and Golgi body. However, leaderless proteins also enter the extracellular space through mechanisms collectively known as unconventional secretion. Unconventionally secreted proteins often have vital roles in cell and organism function such as inflammation. Amongst the best-studied inflammatory unconventionally secreted proteins are interleukin (IL)-1β, IL-1α, IL-33 and high-mobility group box 1 (HMGB1). In this review we discuss the current understanding of the unconventional secretion of these proteins and highlight future areas of research such as the role of nuclear localisation.",HMGB1 | IL-1α | IL-1β | IL-33 | Inflammasome | Nuclear localisation | Unconventional secretion,29,1,,undefined,,papers by authors,0.0,2017-01-01
47,2-s2.0-85030542742,10.1242/jcs.204206,,28871048,An emerging case for membrane pore formation as a common mechanism for the unconventional secretion of FGF2 and IL-1β,ar,Article,Brough D.,60111801;60029675;60016908,Health Innovation Manchester;Hospital Virgen de la Arrixaca;Universität Heidelberg,Manchester;Murcia;Heidelberg,United Kingdom;Spain;Germany,3,"['Brough, David', 'Pelegrin, Pablo', 'Nickel, Walter']","['7006799289', '6603071481', '7003953604']",60111801;60029675;60016908,2017-01-01,2017,Journal of Cell Science,00219533,18556,14779137,Journal,130,19,,3197-3202,"Extracellular proteins with important signalling roles in processes, such as inflammation and angiogenesis, are known to employ unconventional routes of protein secretion. Although mechanisms of unconventional protein secretion are beginning to emerge, the precise molecular details have remained elusive for the majority of cargo proteins secreted by unconventional means. Recent findings suggest that for two examples of unconventionally secreted proteins, interleukin 1β (IL-1β) and fibroblast growth factor 2 (FGF2), the common molecular principle of pore formation may be shared. Under specific experimental conditions, secretion of IL-1β and FGF2 is triggered by phosphatidylinositol 4,5-bisphosphate [PI(4,5)P2]- dependent formation of pores across the plasma membrane. However, the underlying mechanisms are different, with FGF2 known to directly interact with PI(4,5)P2, whereas in the case of IL- 1β secretion, it is proposed that the N-terminal fragment of gasdermin D interacts with PI(4,5)P2 to form the pore. Thus, although implemented in different ways, these findings suggest that pore formation may be shared by the unconventional secretion mechanisms for FGF2 and IL-1β in at least some cases. In this Opinion article, we discuss the unconventional mechanisms of FGF2 and IL-1β release with a particular emphasis on recent discoveries suggesting the importance of pore formation on the plasma membrane.",FGF2 | Gasdermin D | IL-1 | Inflammasome | Pores | Unconventional secretion,27,1,WT,BM1406,Wellcome Trust,papers by authors,0.5,2017-01-01
48,2-s2.0-84989859508,10.1177/0271678X16662043,,27486046,Inflammasomes link vascular disease with neuroinflammation and brain disorders,re,Review,Lénárt N.,60172345;60003354,"Faculty of Biology, Medicine and Health;Institute of Experimental Medicine",Manchester;Budapest,United Kingdom;Hungary,3,"['Lénárt, Nikolett', 'Brough, David', 'Dénes, Ádám']","['55365342100', '7006799289', '23004034300']",60003354;60172345;60003354,2016-10-01,1 October 2016,Journal of Cerebral Blood Flow and Metabolism,0271678X,16667,15597016,Journal,36,10,,1668-1685,"The role of inflammation in neurological disorders is increasingly recognised. Inflammatory processes are associated with the aetiology and clinical progression of migraine, psychiatric conditions, epilepsy, cerebrovascular diseases, dementia and neurodegeneration, such as seen in Alzheimer's or Parkinson's disease. Both central and systemic inflammatory actions have been linked with the development of brain diseases, suggesting that complex neuro-immune interactions could contribute to pathological changes in the brain across multiple temporal and spatial scales. However, the mechanisms through which inflammation impacts on neurological disease are improperly defined. To develop effective therapeutic approaches, it is imperative to understand how detrimental inflammatory processes could be blocked selectively, or controlled for prolonged periods, without compromising essential immune defence mechanisms. Increasing evidence indicates that common risk factors for brain disorders, such as atherosclerosis, diabetes, hypertension, obesity or infection involve the activation of NLRP3, NLRP1, NLRC4 or AIM2 inflammasomes, which are also associated with various neurological diseases. This review focuses on the mechanisms whereby inflammasomes, which integrate diverse inflammatory signals in response to pathogen-driven stimuli, tissue injury or metabolic alterations in multiple cell types and different organs of the body, could functionally link vascular- and neurological diseases and hence represent a promising therapeutic target.",brain disease | inflammasome | Inflammation | neurodegeneration | systemic,83,1,,undefined,,papers by authors,0.5,2016-10-01
